CE_COD_EVENTO,CE_NOMBRE_EVENTO,fuente_datos,fuente_tabla,fuente_registro,anyo,mes,fecha_inicio,duracion_dias,nivel_geografico,CE_COD_DEMARCACION,CPRO,nombre_provincia,cod_municipio_ine,nombre_municipio,nombre_municipio_ine,match_municipio_ine,metodo_asignacion_provincia,CE_ORIGEN,CE_MECANISMO,CE_TIPO,CE_AREA_KM2,CE_PRECIPITACION,tipo_afeccion,nivel_dano,indemnizacion_ccs_eur,victimas,evacuados,coste_hidraulico_eur,coste_nacional_eur,coste_ccaa_eur,coste_ayto_eur,coste_agricola_eur,calado_max,calado_medio,n_mediciones_calado,n_puntos_calado,caudal_max,caudal_medio,periodo_retorno_caudal_max,n_mediciones_caudal,n_puntos_caudal,n_arpsi_afectadas,arpsi_nombres,evento_en_arpsi,nombre_demarcacion,tiene_calado,tiene_caudal,tiene_arpsi
ES020_20190708,#InundacionesZamoraSoriaJulio19,CNIH,CNIH_DAÑO_ECONOMICO_MUNICIPIO,dano_economico_municipio,2019,7,2019-07-08,1.0,municipio,ES020,32.0,Ourense,32050.0,Monterrei,Monterrei,True,diccionario_taux_municipios,1;2,1,5,0.0,,B41 - Propiedad;B42 - Infraestructura;B43 - Usos de suelo rural;B44 - Actividad económica,H-Alto,208570.42,,,,,,,,,,,,,,,,,5,TÁMEGA-BÚBAL; ADAJA-ERESMA-CEGA; ALTO DUERO; ZAMORA-ESLA; BAJO DUERO,1,Duero,0,0,1
ES020_20190708,#InundacionesZamoraSoriaJulio19,CNIH,CNIH_DAÑO_ECONOMICO_MUNICIPIO,dano_economico_municipio,2019,7,2019-07-08,1.0,municipio,ES020,40.0,Segovia,40194.0,Segovia,Segovia,True,diccionario_taux_municipios,1;2,1,5,0.0,,B41 - Propiedad;B42 - Infraestructura;B43 - Usos de suelo rural;B44 - Actividad económica,H-Alto,196734.83,,,,,,,,,,,,,,,,,5,TÁMEGA-BÚBAL; ADAJA-ERESMA-CEGA; ALTO DUERO; ZAMORA-ESLA; BAJO DUERO,1,Duero,0,0,1
ES020_20190708,#InundacionesZamoraSoriaJulio19,CNIH,CNIH_DAÑO_ECONOMICO_MUNICIPIO,dano_economico_municipio,2019,7,2019-07-08,1.0,municipio,ES020,49.0,Zamora,49095.0,La Hiniesta,La Hiniesta,True,diccionario_taux_municipios,1;2,1,5,0.0,,B41 - Propiedad;B42 - Infraestructura;B43 - Usos de suelo rural;B44 - Actividad económica,H-Alto,151138.64,,,,,,,,,,,,,,,,,5,TÁMEGA-BÚBAL; ADAJA-ERESMA-CEGA; ALTO DUERO; ZAMORA-ESLA; BAJO DUERO,1,Duero,0,0,1
ES020_20190708,#InundacionesZamoraSoriaJulio19,CNIH,CNIH_DAÑO_ECONOMICO_MUNICIPIO,dano_economico_municipio,2019,7,2019-07-08,1.0,municipio,ES020,42.0,Soria,42173.0,Soria,Soria,True,diccionario_taux_municipios,1;2,1,5,0.0,,B41 - Propiedad;B42 - Infraestructura;B43 - Usos de suelo rural;B44 - Actividad económica,H-Alto,75422.28,,,,,,,,,,,,,,,,,5,TÁMEGA-BÚBAL; ADAJA-ERESMA-CEGA; ALTO DUERO; ZAMORA-ESLA; BAJO DUERO,1,Duero,0,0,1
ES020_20190917,#InundacionesValladolidSeptiembre19,CNIH,CNIH_DAÑO_ECONOMICO_MUNICIPIO,dano_economico_municipio,2019,9,2019-09-17,1.0,municipio,ES020,47.0,Valladolid,47186.0,Valladolid,Valladolid,True,diccionario_taux_municipios,1;2,1,5,0.0,,B41 - Propiedad;B42 - Infraestructura;B43 - Usos de suelo rural;B44 - Actividad económica,H-Alto,1216190.99,,,,,,,,,,,,,,,,,2,PISUERGA-ESGUEVA; DUERO MEDIO-DURATÓN,1,Duero,0,0,1
ES020_20190917,#InundacionesValladolidSeptiembre19,CNIH,CNIH_DAÑO_ECONOMICO_MUNICIPIO,dano_economico_municipio,2019,9,2019-09-17,1.0,municipio,ES020,47.0,Valladolid,47076.0,Laguna de Duero,Laguna de Duero,True,diccionario_taux_municipios,1;2,1,5,0.0,,B41 - Propiedad;B42 - Infraestructura;B43 - Usos de suelo rural;B44 - Actividad económica,H-Alto,68206.67,,,,,,,,,,,,,,,,,2,PISUERGA-ESGUEVA; DUERO MEDIO-DURATÓN,1,Duero,0,0,1
ES020_20190917,#InundacionesValladolidSeptiembre19,CNIH,CNIH_DAÑO_ECONOMICO_MUNICIPIO,dano_economico_municipio,2019,9,2019-09-17,1.0,municipio,ES020,47.0,Valladolid,47007.0,Aldeamayor de San Martín,Aldeamayor de San Martín,True,diccionario_taux_municipios,1;2,1,5,0.0,,B41 - Propiedad;B42 - Infraestructura;B43 - Usos de suelo rural;B44 - Actividad económica,H-Alto,50512.53,,,,,,,,,,,,,,,,,2,PISUERGA-ESGUEVA; DUERO MEDIO-DURATÓN,1,Duero,0,0,1
ES020_20191216,#InundacionesLeónDiciembre19,CNIH,CNIH_DAÑO_ECONOMICO_MUNICIPIO,dano_economico_municipio,2019,12,2019-12-16,3.0,municipio,ES020,24.0,León,24114.0,La Pola de Gordón,La Pola de Gordón,True,diccionario_taux_municipios,1,1,5,0.0,,B41 - Propiedad;B42 - Infraestructura;B43 - Usos de suelo rural;B44 - Actividad económica,H-Alto,285137.17,,,,,,,,,,,,,,,,,3,BERNESGA-TORIO-PORMA; BENAVENTE-ÓRBIGO-ESLA; ERÍA,1,Duero,0,0,1
ES020_20191216,#InundacionesLeónDiciembre19,CNIH,CNIH_DAÑO_ECONOMICO_MUNICIPIO,dano_economico_municipio,2019,12,2019-12-16,3.0,municipio,ES020,24.0,León,24134.0,La Robla,La Robla,True,diccionario_taux_municipios,1,1,5,0.0,,B41 - Propiedad;B42 - Infraestructura;B43 - Usos de suelo rural;B44 - Actividad económica,H-Alto,115425.96,,,,,,,,,,,,,,,,,3,BERNESGA-TORIO-PORMA; BENAVENTE-ÓRBIGO-ESLA; ERÍA,1,Duero,0,0,1
ES020_20191216,#InundacionesLeónDiciembre19,CNIH,CNIH_DAÑO_ECONOMICO_MUNICIPIO,dano_economico_municipio,2019,12,2019-12-16,3.0,municipio,ES020,24.0,León,24222.0,Villaquilambre,Villaquilambre,True,diccionario_taux_municipios,1,1,5,0.0,,B41 - Propiedad;B42 - Infraestructura;B43 - Usos de suelo rural;B44 - Actividad económica,H-Alto,69005.6,,,,,,,,,,,,,,,,,3,BERNESGA-TORIO-PORMA; BENAVENTE-ÓRBIGO-ESLA; ERÍA,1,Duero,0,0,1
